x,y,z,t
619466.1659762977,4195597.291478536,450.0,4241081.815180108
619467.6849255958,4195594.677003223,448.512039292707,4241079.450607458
619469.2270467952,4195592.022643521,447.04831434165595,4241077.049963595
619470.7913990024,4195589.330018935,445.6090609030891,4241074.614713262
619472.3770413242,4195586.6007489655,444.19451473324824,4241072.146321197
619473.983032866,4195583.8364531165,442.8049115883756,4241069.64625214
619475.6084327345,4195581.0387508925,441.4404872247129,4241067.115970829
619477.2523000357,4195578.209261797,440.1014773985024,4241064.556941999
619478.913693876,4195575.349605332,438.78811786598624,4241061.970630381
619480.5916733611,4195572.4614010025,437.5006443834062,4241059.358500709
619482.2852975979,4195569.54626831,436.2392927070044,4241056.722017711
619483.9936256922,4195566.605826761,435.00429859302284,4241054.062646115
619485.7157167502,4195563.641695856,433.79589779770356,4241051.381850648
619487.4506298787,4195560.655495099,432.6143260772886,4241048.6810960295
619489.1974241831,4195557.648843994,431.45981918802,4241045.961846983
619490.9551587702,4195554.623362044,430.3326128861397,4241043.225568227
619492.7228927457,4195551.580668753,429.23294292788984,4241040.473724477
619494.4996852163,4195548.522383625,428.1610450695124,4241037.707780451
619496.2845952883,4195545.45012616,427.1171550672494,4241034.929200853
619498.0766820674,4195542.365515864,426.10150867734296,4241032.1394504
619499.87500466,4195539.270172242,425.1143416560349,4241029.339993796
619501.6786221724,4195536.165714796,424.15588975956734,4241026.532295749
619503.486593711,4195533.053763027,423.2263887441825,4241023.717820955
619505.2979783815,4195529.935936443,422.326074366122,4241020.89803412
619507.1118352907,4195526.813854543,421.4551823816282,4241018.074399938
619508.9272235445,4195523.689136833,420.6139485469431,4241015.248383105
619510.743202249,4195520.563402816,419.8026086183086,4241012.421448313
619512.5588305106,4195517.438271996,419.0213983519668,4241009.5950602535
619514.3731674356,4195514.315363874,418.2705535041597,4241006.770683612
619516.1852721301,4195511.196297955,417.55030983112925,4241003.949783074
619517.9942037005,4195508.082693743,416.86090308911764,4241001.133823321
619519.7990212525,4195504.97617074,416.2025690343668,4240998.324269036
619521.5987838929,4195501.87834845,415.5755434231188,4240995.522584895
619523.3925507277,4195498.790846378,414.9800620116156,4240992.730235573
619525.1793808631,4195495.715284025,414.4163605560992,4240989.948685743
619526.9583334052,4195492.653280896,413.8846748128118,4240987.179400076
619528.7284674605,4195489.606456494,413.38524053799534,4240984.423843239
619530.488842135,4195486.576430322,412.9182934878918,4240981.683479899
619532.2385165348,4195483.564821883,412.48406941874316,4240978.959774718
619533.9765497665,4195480.573250681,412.0828040867916,4240976.254192356
619535.7020009359,4195477.603336221,411.71473324827895,4240973.568197476
619537.4139291495,4195474.656698003,411.3800926594474,4240970.903254732
619539.1113935136,4195471.734955533,411.079118076539,4240968.260828776
619540.7934531341,4195468.839728314,410.8120452557956,4240965.642384266
619542.4591671173,4195465.972635849,410.57910995345935,4240963.049385848
619544.1075945697,4195463.135297641,410.38054792577225,4240960.483298172
619545.7377945969,4195460.329333195,410.2165949289763,4240957.945585886
619547.3488263059,4195457.556362013,410.0874867193136,4240955.437713631
619548.9397488022,4195454.8180035995,409.9934590530261,4240952.961146054
619550.5096211926,4195452.115877456,409.9347476863559,4240950.517347791
619552.0575025831,4195449.451603087,409.91158837554485,4240948.107783485
619553.5824520797,4195446.826799996,409.9242168768352,4240945.733917774
619555.0835287889,4195444.243087687,409.9728689464689,4240943.397215291
619556.5597918167,4195441.702085663,410.05778034068794,4240941.099140675
619558.0103002696,4195439.205413426,410.17918681573434,4240938.841158556
619559.4341132536,4195436.754690481,410.3373241278502,4240936.624733566
619560.8302898749,4195434.351536333,410.5324280332775,4240934.45133034
619562.1978892398,4195431.997570481,410.7647342882582,4240932.322413502
619563.5359704546,4195429.694412432,411.03447864903444,4240930.239447685
619564.8435926252,4195427.443681688,411.3418968718482,4240928.203897517
619566.1198148582,4195425.246997753,411.68722471294154,4240926.217227623
619567.3636962597,4195423.10598013,412.0706979285564,4240924.280902631
619568.5742959357,4195421.022248322,412.49255227493484,4240922.396387165
619569.7506729926,4195418.997421834,412.9530235083189,4240920.565145852
619570.8918865367,4195417.0331201665,413.4523473849506,4240918.788643317
619571.9969956742,4195415.130962826,413.99075966107205,4240917.068344185
619573.065059511,4195413.292569315,414.5684960929252,4240915.40571308
619574.0951371536,4195411.519559136,415.18579243675197,4240913.802214626
619575.0862877081,4195409.813551793,415.8428844487946,4240912.25931345
619576.037570281,4195408.17616679,416.5400078852949,4240910.778474175
619576.9480439782,4195406.609023629,417.2773985024951,4240909.3611614285
619577.816767906,4195405.113741813,418.0552920566371,4240908.008839834
619578.6428011706,4195403.691940849,418.873924303963,4240906.72297402
619579.4252028782,4195402.345240237,419.7335310007146,4240905.505028615
619580.1630321352,4195401.075259482,420.6343479031343,4240904.356468245
619580.8553480477,4195399.883618086,421.5766107674639,4240903.278757541
619581.5012097217,4195398.771935553,422.5605553499454,4240902.273361134
619582.0996762638,4195397.741831387,423.58641740682094,4240901.341743657
619582.6498067798,4195396.794925092,424.6544326943325,4240900.485369743
619583.1506603763,4195395.932836169,425.7648369687221,4240899.705704028
619583.6012961593,4195395.157184124,426.91786598623173,4240899.004211149
619584.0007732352,4195394.4695884595,428.11375550310345,4240898.382355748
619584.3481507101,4195393.871668679,429.3527412755793,4240897.841602465
619584.6424876901,4195393.365044284,430.6350590599013,4240897.383415943
619584.8828432816,4195392.951334781,431.9609446123115,4240897.009260834
619585.0682765906,4195392.632159671,433.33063368905187,4240896.720601783
619585.1978467236,4195392.409138459,434.7443620463645,4240896.518903445
619585.2706127868,4195392.283890647,436.20236544049123,4240896.405630477
619585.285633886,4195392.25803574,437.7048796276745,4240896.382247536
619585.2419691278,4195392.33319324,439.2521403641559,4240896.4502192885
619585.1386776186,4195392.51098265,440.84438340617754,4240896.611010397
619584.974818464,4195392.793023476,442.48184450998167,4240896.866085536
619584.7494507707,4195393.18093522,444.1647594318102,4240897.216909379
619584.4616336448,4195393.676337385,445.89336392790506,4240897.6649466045
619584.1104261926,4195394.280849474,447.66789375450844,4240898.2116618985
619583.6948875198,4195394.996090991,449.48858466786214,4240898.858519948
619583.2140767333,4195395.82368144,451.3556724242084,4240899.606985448
619582.6670529391,4195396.765240324,453.2693927797892,4240900.458523096
619582.0528752432,4195397.822387146,455.22998149084646,4240901.414597598
619581.3706027522,4195398.996741409,457.23767431362234,4240902.476673663
