latitude,longitude
37.907449326,-1.651334720
37.908716778,-1.650102654
37.910068082,-1.648134481
37.911150028,-1.646029480
37.912001222,-1.642758237
37.912637970,-1.639450152
37.912342353,-1.636915784
37.911281523,-1.635216170
37.910458693,-1.634195370
37.909958523,-1.632999878
37.909538565,-1.631995182
