UTM_X,UTM_Y,elevation
619461.4763222700,4195289.1541001024,619.626586914062
619511.7560572224,4195224.1357218409,612.034912109375
619565.7668642486,4195178.6005551694,607.991333007812
619663.7262065554,4195176.1201981306,601.009826660156
619753.0844217348,4195243.6178924451,596.707214355469
619753.9069588404,4195374.0577867143,603.430847167969
619727.8823321924,4195462.4677718654,622.259460449219
619715.6349936192,4195562.5444959281,643.355102539062
619717.8013235518,4195571.1465712823,643.355102539062
