UTM_X,UTM_Y,elevation
618700.3493682276,4196120.8874764144,754.707763671875
618877.2215115186,4195724.5076417457,736.8740234375
619026.4000354545,4195401.2769625913,672.636535644531
619127.3796664502,4195227.2154104039,638.946899414062
