x,y,z,t
619466.1659762977,4195597.291478537,650.0,4241081.815180109
619467.1668944032,4195595.568658901,649.0080578104454,4241080.257034803
619468.160249098,4195593.858857705,648.0322312417816,4241078.710663938
619469.1460403824,4195592.162074949,647.0725202940085,4241077.176067507
619470.1242682567,4195590.478310632,646.1289249671263,4241075.653245502
619471.0949327204,4195588.807564755,645.201445261135,4241074.142197915
619472.0580337738,4195587.149837317,644.2900811760343,4241072.642924737
619473.0135714168,4195585.505128319,643.3948327118246,4241071.155425963
619473.9615456495,4195583.873437761,642.5156998685056,4241069.679701581
619474.9019564716,4195582.254765642,641.6526826460773,4241068.215751585
619475.8348038835,4195580.649111963,640.8057810445399,4241066.7635759665
619476.760087885,4195579.056476723,639.9749950638934,4241065.323174721
619477.6778084757,4195577.476859924,639.1603247041376,4241063.894547838
619478.5879656564,4195575.910261564,638.3617699652725,4241062.47769531
619479.4905594266,4195574.356681644,637.5793308472984,4241061.072617129
619480.3855897866,4195572.816120164,636.8130073502149,4241059.67931329
619481.2730567359,4195571.288577122,636.0627994740223,4241058.297783783
619482.1529602748,4195569.77405252,635.3287072187204,4241056.928028603
619483.0253004038,4195568.272546358,634.6107305843095,4241055.570047742
619483.8900771219,4195566.784058636,633.9088695707893,4241054.223841191
619484.7472904298,4195565.308589354,633.2231241781599,4241052.889408946
619485.5969403272,4195563.846138511,632.5534944064212,4241051.566750997
619486.4390268144,4195562.396706107,631.8999802555734,4241050.255867338
619487.273549891,4195560.960292143,631.2625817256164,4241048.956757963
619488.1005095573,4195559.53689662,630.6412988165501,4241047.669422865
619488.9199058132,4195558.126519535,630.0361315283747,4241046.393862036
619489.7317386586,4195556.72916089,629.4470798610901,4241045.130075471
619490.5360080937,4195555.344820686,628.8741438146963,4241043.878063161
619491.3327141184,4195553.97349892,628.3173233891932,4241042.637825101
619492.1218567328,4195552.615195595,627.776618584581,4241041.409361285
619492.9034359367,4195551.269910708,627.2520294008596,4241040.192671704
619493.6774517301,4195549.937644263,626.7435558380289,4241038.987756355
619494.4439041133,4195548.618396255,626.251197896089,4241037.794615228
619495.2027930861,4195547.312166688,625.77495557504,4241036.613248318
619495.9541186484,4195546.0189555595,625.3148288748819,4241035.443655619
619496.6978808003,4195544.738762871,624.8708177956144,4241034.285837126
619497.434079542,4195543.471588625,624.4429223372379,4241033.139792834
619498.1627148731,4195542.217432816,624.031142499752,4241032.005522733
619498.8837867938,4195540.976295447,623.6354782831569,4241030.883026819
619499.5972953043,4195539.748176517,623.2559296874527,4241029.772305084
619500.3032404042,4195538.533076027,622.8924967126393,4241028.673357526
619501.0016220938,4195537.330993977,622.5451793587166,4241027.586184137
619501.6924403731,4195536.141930366,622.213977625685,4241026.51078491
619502.375695242,4195534.965885196,621.898891513544,4241025.447159843
619503.0513867004,4195533.8028584635,621.5999210222935,4241024.395308925
619503.7195147483,4195532.6528501725,621.3170661519341,4241023.355232157
619504.380079386,4195531.51586032,621.0503269024655,4241022.326929526
619505.0330806132,4195530.391888908,620.7997032738876,4241021.310401035
619505.67851843,4195529.280935936,620.5651952662006,4241020.305646672
619506.3163928364,4195528.183001404,620.3468028794043,4241019.312666435
619506.9467038325,4195527.098085308,620.1445261134988,4241018.331460315
619507.5694514181,4195526.0261876555,619.9583649684841,4241017.362028313
619508.1846355933,4195524.967308442,619.7883194443605,4241016.404370419
619508.7922563583,4195523.921447666,619.6343895411273,4241015.458486628
619509.3923137127,4195522.888605332,619.496575258785,4241014.524376937
619509.9848076568,4195521.868781437,619.3748765973337,4241013.60204134
619510.5697381906,4195520.861975981,619.2692935567729,4241012.691479833
619511.1471053138,4195519.868188966,619.1798261371032,4241011.792692412
619511.7169090267,4195518.887420389,619.106474338324,4241010.905679068
619512.2791493292,4195517.919670253,619.0492381604358,4241010.0304398015
619512.8338262213,4195516.964938556,619.0081176034383,4241009.166974604
619513.380939703,4195516.023225299,618.9831126673317,4241008.315283474
619513.9204897743,4195515.094530481,618.9742233521158,4241007.475366404
619514.4524764352,4195514.178854102,618.9814496577908,4241006.647223391
619514.9768996858,4195513.276196165,619.0047915843566,4241005.830854433
619515.4937595259,4195512.386556665,619.0442491318131,4241005.02625952
619516.0030559557,4195511.509935606,619.0998223001604,4241004.233438653
619516.5047889751,4195510.646332987,619.1715110893986,4241003.452391826
619516.998958584,4195509.795748807,619.2593154995275,4241002.683119033
619517.4855647825,4195508.958183067,619.3632355305473,4241001.925620275
619517.9646075708,4195508.133635766,619.4832711824578,4241001.179895542
619518.4360869485,4195507.322106906,619.619422455259,4241000.4459448345
619518.9000029159,4195506.523596484,619.7716893489512,4240999.723768145
619519.3563554729,4195505.738104503,619.9400718635342,4240999.013365472
619519.8051446195,4195504.965630961,620.1245699990079,4240998.314736811
619520.2463703557,4195504.206175858,620.3251837553724,4240997.627882159
