x,y,z
619761.1311816699,4196231.027938378,579.9182509602582
619762.6114296678,4196228.349849532,581.9013789884876
619764.1495824306,4196225.56699844,583.6486584577873
619765.7454948338,4196222.679647665,585.1642898586516
619767.3990217522,4196219.688059766,586.4524736815749
619769.1100180615,4196216.592497308,587.5174104170513
619770.8783386366,4196213.393222852,588.363300555575
619772.7038383533,4196210.090498959,588.9943445876404
619774.5863720863,4196206.684588194,589.4147430037417
619776.5257947112,4196203.175753116,589.6286962943727
619778.5219611034,4196199.564256287,589.6404049500285
619780.5747261377,4196195.8503602715,589.4540694612024
619782.6839446898,4196192.03432763,589.0738903183891
619784.8494716347,4196188.116420925,588.5040680120829
619787.0711618479,4196184.096902717,587.7488030327779
619789.3488702044,4196179.976035571,586.8122958709686
619791.68245158,4196175.7540820455,585.6987470171489
619794.0717608494,4196171.431304704,584.4123569618131
619796.5166528885,4196167.00796611,582.9573261954557
619799.0169825717,4196162.484328824,581.3378552085707
619801.5726047751,4196157.860655407,579.5581444916522
619804.1833743735,4196153.1372084245,577.6223945351948
619806.8491462423,4196148.314250435,575.5348058296925
619809.5697752568,4196143.392044002,573.2995788656397
619812.3451162922,4196138.370851688,570.9209141335302
619815.175024224,4196133.250936054,568.403012123859
619818.0593539273,4196128.032559662,565.7500733271197
619820.9979602774,4196122.715985075,562.9662982338068
619823.9906981494,4196117.301474853,560.0558873344145
619827.0374224188,4196111.789291562,557.0230411194369
619830.137987961,4196106.17969776,553.8719600793685
619833.292249651,4196100.47295601,550.6068447047033
619836.5000623643,4196094.669328876,547.2318954859358
619839.7612809759,4196088.769078918,543.75131291356
619843.0757603613,4196082.772468697,540.1692974780703
619846.4433553957,4196076.679760778,536.4900496699609
619849.8639209544,4196070.491217722,532.717769979726
619853.3373119127,4196064.20710209,528.8566588978597
619856.8633831457,4196057.827676445,524.9109169148564
619860.4419895288,4196051.353203349,520.8847445212103
619864.0729859376,4196044.783945363,516.7823422074158
619867.7562272467,4196038.12016505,512.6079104639668
619871.4915683318,4196031.362124972,508.36564978135806
619875.2788640683,4196024.51008769,504.0597606500832
619879.1179693311,4196017.564315768,499.69444356063684
619883.0087389958,4196010.525071765,495.27389900351307
619886.9510279375,4196003.392618246,490.80232746920626
619890.9446910315,4195996.167217772,486.2839294482104
619894.9895831529,4195988.849132905,481.72290543102
619899.0855591774,4195981.4386262065,477.12345590812924
619903.2324739799,4195973.935960239,472.4897813700323
619907.430182436,4195966.341397564,467.8260823072234
619911.6785394207,4195958.655200744,463.1365592101969
619915.9773998094,4195950.87763234,458.42541256944696
619920.3266184775,4195943.008954917,453.69684287546767
619924.7260502998,4195935.049431034,448.9550506187535
619929.1755501521,4195926.999323254,444.2042362897986
619933.6749729094,4195918.8588941395,439.44860037909723
619938.2241734472,4195910.628406252,434.69234337714363
619942.8230066404,4195902.308122153,429.93966577443194
619947.4713273647,4195893.898304407,425.19476806145656
619952.168990495,4195885.399215572,420.4618507287116
619956.9158509069,4195876.8111182125,415.74511426669125
619961.7117634756,4195868.13427489,411.0487591658899
619966.5565830762,4195859.368948166,406.37698591680174
619971.4501645841,4195850.515400605,401.73399500992105
619976.3923628745,4195841.573894766,397.123986935742
619981.3830328227,4195832.544693213,392.5511621847587
619986.4220293043,4195823.428058507,388.0197212474658
619991.5092071941,4195814.22425321,383.533864614357
619996.6444213674,4195804.933539885,379.09779277592696
620001.8275266999,4195795.556181093,374.7157062226697
620007.0583780665,4195786.092439396,370.3918054450796
620012.3368303425,4195776.542577356,366.13029093365077
620017.6627384035,4195766.906857537,361.9353631788775
620023.0359571243,4195757.185542498,357.81122267125403
620028.4563413806,4195747.378894802,353.7620699012746
620033.9237460473,4195737.487177013,349.79210535943344
620039.4380260002,4195727.510651691,345.90552953622483
620044.9990361141,4195717.449581398,342.1065429221429
620050.6066312642,4195707.304228697,338.3993460076821
620056.2606663264,4195697.074856149,334.7881392833364
620061.9609961754,4195686.761726316,331.2771232396002
620067.7074756864,4195676.365101762,327.8704983669677
620073.4999597352,4195665.8852450475,324.57246515593323
620079.3383031967,4195655.3224187335,321.38722409699085
620085.2223609462,4195644.676885384,318.31897568063494
620091.1519878593,4195633.94890756,315.3719203973597
620097.1270388109,4195623.138747823,312.55025873765936
620103.1473686765,4195612.246668736,309.85819119202813
620109.2128323312,4195601.272932861,307.2999182509603
620115.3232846502,4195590.21780276,304.87964040495007
620121.4785805091,4195579.081540994,302.6015581444916
620127.678574783,4195567.864410127,300.46987196007933
620133.9231223473,4195556.566672718,298.4887823422074
620140.212078077,4195545.188591332,296.66248978137
620146.5452968476,4195533.73042853,294.9951947680614
620152.9226335343,4195522.1924468735,293.4910977927759
620159.3439430124,4195510.574908924,292.1543993460077
620165.8090801571,4195498.878077246,290.989299918251
