UTM_X,UTM_Y,elevation
620524.8549708833,4194830.8386137709,646.052795410156
620563.7804341980,4195038.8411243921,618.293762207031
620472.3134528536,4195320.9589114767,569.151672363281
620507.9964568324,4195499.4406684944,567.679748535156
621233.7370732458,4195875.2593198782,558.495056152344
621814.9582016184,4196364.1608375637,561.344604492188
622624.5452027320,4197241.2756452719,527.055969238281
622889.6042012380,4197601.6586955320,510.493988037109
623034.6251524600,4197702.2637596736,505.080932617188
