x,y,z,lat,lon,elevation
618332.414840255,4194757.799346468,700.0,37.89264760942329,-1.654199611281325,657.7328
618362.182425833,4194757.799346468,700.0,37.892643738741974,-1.6538611490046347,655.2297
618391.9500114109,4194757.799346468,700.0,37.89263986708783,-1.6535226867928023,653.0811
618421.7175969888,4194757.799346468,700.0,37.89263599446087,-1.6531842246458024,650.708
618451.4851825667,4194757.799346468,700.0,37.89263212086108,-1.6528457625636601,646.6975
618481.2527681447,4194757.799346468,700.0,37.89262824628847,-1.6525073005464013,645.34784
618511.0203537226,4194757.799346468,700.0,37.892624370743036,-1.6521688385940259,643.4884
618540.7879393005,4194757.799346468,700.0,37.892620494224786,-1.6518303767065845,641.5089
618570.5555248784,4194757.799346468,700.0,37.892616616733726,-1.6514919148840521,639.4928
618600.3231104563,4194757.799346468,700.0,37.89261273826984,-1.651153453126479,637.2945
618630.0906960343,4194757.799346468,700.0,37.89260885883313,-1.6508149914338404,632.85626
618659.8582816122,4194757.799346468,700.0,37.892604978423606,-1.650476529806187,630.6913
618689.6258671901,4194757.799346468,700.0,37.89260109704128,-1.6501380682435438,628.68164
618719.393452768,4194757.799346468,700.0,37.89259721468612,-1.6497996067458858,627.34204
618749.161038346,4194757.799346468,700.0,37.89259333135815,-1.649461145313264,626.299
618778.9286239239,4194757.799346468,700.0,37.89258944705736,-1.6491226839457034,623.528
618808.6962095018,4194757.799346468,700.0,37.892585561783754,-1.6487842226431788,622.9348
618838.4637950797,4194757.799346468,700.0,37.892581675537336,-1.6484457614057157,622.3321
618868.2313806576,4194757.799346468,700.0,37.892577788318114,-1.6481073002333648,621.5991
618897.9989662356,4194757.799346468,700.0,37.89257390012607,-1.647768839126101,621.15845
618927.7665518135,4194757.799346468,700.0,37.89257001096122,-1.6474303780839747,620.5255
618957.5341373914,4194757.799346468,700.0,37.89256612082355,-1.6470919171069862,620.042
618987.3017229693,4194757.799346468,700.0,37.89256222971307,-1.6467534561951356,619.43207
619017.0693085473,4194757.799346468,700.0,37.89255833762978,-1.6464149953484735,618.4979
619046.8368941252,4194757.799346468,700.0,37.89255444457368,-1.646076534567,617.3454
619076.6044797031,4194757.799346468,700.0,37.89255055054478,-1.6457380738507408,615.61383
619106.372065281,4194757.799346468,700.0,37.892546655543065,-1.6453996131996702,613.9297
619136.1396508589,4194757.799346468,700.0,37.89254275956855,-1.6450611526138645,613.2132
619165.9072364368,4194757.799346468,700.0,37.892538862621215,-1.6447226920932985,612.67737
619195.6748220148,4194757.799346468,700.0,37.89253496470106,-1.6443842316379973,612.44586
619225.4424075927,4194757.799346468,700.0,37.89253106580812,-1.6440457712479866,611.42725
619255.2099931706,4194757.799346468,700.0,37.892527165942376,-1.6437073109232663,611.7492
619284.9775787486,4194757.799346468,700.0,37.89252326510382,-1.6433688506638875,612.30414
619314.7451643265,4194757.799346468,700.0,37.89251936329246,-1.6430303904698242,612.14355
619344.5127499044,4194757.799346468,700.0,37.892515460508285,-1.642691930341128,611.8177
619374.2803354823,4194757.799346468,700.0,37.892511556751316,-1.642353470277773,609.8276
619404.0479210602,4194757.799346468,700.0,37.89250765202154,-1.6420150102798357,609.3017
619433.8155066381,4194757.799346468,700.0,37.892503746318965,-1.641676550347265,606.74915
619463.583092216,4194757.799346468,700.0,37.89249983964359,-1.6413380904801376,605.0782
