x,y,z
620186.3943730879,4196681.9294235045,574.5323945724452
620186.9122213139,4196680.851018351,574.2473230538532
620187.4268629161,4196679.779290905,573.9734042809746
620187.9382978947,4196678.7142411675,573.7106382538095
620188.4465262493,4196677.65586914,573.4590249723581
620188.9515479803,4196676.604174821,573.2185644366201
620189.4533630874,4196675.559158211,572.9892566465958
620189.951971571,4196674.520819308,572.7711016022852
620190.4473734308,4196673.489158114,572.564099303688
620190.9395686666,4196672.464174629,572.3682497508044
620191.4285572789,4196671.4458688535,572.1835529436343
620191.9143392673,4196670.434240786,572.0100088821778
620192.3969146321,4196669.429290427,571.8476175664348
620192.8762833731,4196668.431017776,571.6963789964053
620193.3524454903,4196667.439422835,571.5562931720896
620193.8254009837,4196666.454505602,571.4273600934872
620194.2951498535,4196665.476266078,571.3095797605985
620194.7616920994,4196664.504704262,571.2029521734233
620195.2250277217,4196663.539820154,571.1074773319618
620195.6851567201,4196662.581613757,571.0231552362138
620196.142079095,4196661.630085066,570.9499858861793
620196.5957948458,4196660.685234086,570.8879692818584
620197.0463039731,4196659.747060814,570.837105423251
620197.4936064765,4196658.81556525,570.7973943103573
620197.9377023561,4196657.890747394,570.768835943177
620198.3785916121,4196656.972607248,570.7514303217104
620198.8162742443,4196656.06114481,570.7451774459572
620199.2507502527,4196655.156360081,570.7500773159177
620199.6820196374,4196654.25825306,570.7661299315916
620200.1100823983,4196653.36682375,570.7933352929792
620200.5349385355,4196652.482072147,570.8316934000803
620200.956588049,4196651.603998251,570.881204252895
620201.3750309387,4196650.732602065,570.9418678514234
620201.7902672046,4196649.867883588,571.0136841956652
620202.2022968468,4196649.00984282,571.0966532856205
620202.6111198652,4196648.15847976,571.1907751212894
620203.01673626,4196647.313794409,571.296049702672
620203.4191460309,4196646.475786767,571.4124770297681
620203.8183491782,4196645.644456833,571.5400571025776
620204.2143457016,4196644.819804607,571.6787899211008
620204.6071356012,4196644.001830091,571.8286754853376
620204.9967188772,4196643.190533283,571.9897137952879
620205.3830955294,4196642.385914183,572.1619048509518
620205.766265558,4196641.587972793,572.3452486523292
620206.1462289626,4196640.796709111,572.5397451994202
620206.5229857435,4196640.012123138,572.7453944922247
620206.8965359007,4196639.234214873,572.9621965307429
620207.2668794341,4196638.462984317,573.1901513149746
620207.6340163436,4196637.69843147,573.4292588449197
620207.9979466296,4196636.940556332,573.6795191205786
620208.3586702918,4196636.189358901,573.9409321419508
620208.7161873302,4196635.4448391795,574.2134979090367
620209.070497745,4196634.706997167,574.4972164218361
620209.4216015358,4196633.975832863,574.7920876803494
620209.7694987031,4196633.251346267,575.0981116845759
620210.1141892464,4196632.53353738,575.415288434516
620210.4556731661,4196631.822406203,575.7436179301696
620210.793950462,4196631.117952733,576.083100171537
620211.1290211341,4196630.420176973,576.4337351586178
620211.4608851826,4196629.729078921,576.7955228914122
620211.7895426073,4196629.044658577,577.1684633699201
620212.1149934081,4196628.366915942,577.5525565941416
620212.4372375853,4196627.695851016,577.9478025640767
620212.7562751387,4196627.031463798,578.3542012797254
620213.0721060684,4196626.37375429,578.7717527410877
620213.3847303743,4196625.722722489,579.2004569481633
620213.6941480564,4196625.078368397,579.6403139009526
620214.000359115,4196624.440692015,580.0913235994556
620214.3033635495,4196623.80969334,580.553486043672
620214.6031613605,4196623.185372375,581.026801233602
620214.8997525476,4196622.567729117,581.5112691692456
620215.1931371109,4196621.956763569,582.0068898506026
620215.4833150506,4196621.352475731,582.5136632776733
620215.7702863666,4196620.754865599,583.0315894504577
620216.0540510587,4196620.163933177,583.5606683689554
620216.334609127,4196619.579678464,584.1009000331668
620216.6119605717,4196619.002101459,584.6522844430917
620216.8861053926,4196618.431202162,585.2148215987302
620217.1570435897,4196617.866980574,585.7885115000822
620217.4247751632,4196617.309436695,586.3733541471479
620217.6893001128,4196616.758570525,586.9693495399271
620217.9506184387,4196616.214382063,587.5764976784197
620218.2087301408,4196615.67687131,588.194798562626
620218.4636352193,4196615.146038265,588.8242521925459
620218.7153336739,4196614.6218829295,589.4648585681794
620218.9638255048,4196614.104405303,590.1166176895263
620219.2091107118,4196613.593605385,590.7795295565868
620219.4511892953,4196613.0894831745,591.4535941693608
620219.6900612548,4196612.592038674,592.1388115278486
620219.9257265907,4196612.101271881,592.8351816320499
620220.158185303,4196611.617182798,593.5427044819644
620220.3874373913,4196611.139771422,594.2613800775929
620220.613482856,4196610.669037756,594.9912084189348
620220.8363216968,4196610.204981797,595.7321895059902
620221.0559539138,4196609.74760355,596.4843233387593
620221.2723795074,4196609.296903008,597.2476099172419
620221.485598477,4196608.852880176,598.0220492414379
620221.6956108226,4196608.415535053,598.8076413113478
620221.902416545,4196607.984867639,599.604386126971
620222.1060156432,4196607.560877933,600.4122836883076
