,UTM_X,UTM_Y,latitude,longitude,elevation
0,618283.0,4194756.0,37.89263781954551,-1.6547617612519419,664.1275
1,618283.0,4194770.655,37.89276986951186,-1.6547593579443693,664.1275
2,618283.0,4194785.31,37.89290191947508,-1.654756954621072,665.26794
3,618283.0,4194799.965,37.89303396943523,-1.654754551282101,665.26794
4,618283.0,4194814.62,37.89316601939226,-1.6547521479274052,665.9785
5,618283.0,4194829.275,37.89329806934621,-1.6547497445570103,665.67584
6,618283.0,4194843.93,37.893430119297044,-1.6547473411709162,665.67584
7,618283.0,4194858.585,37.89356216924478,-1.6547449377690973,665.2089
8,618283.0,4194873.24,37.89369421918943,-1.6547425343516047,661.80505
9,618283.0,4194887.895,37.893826269130955,-1.6547401309183876,661.1228
10,618283.0,4194902.55,37.89395831906939,-1.6547377274694965,661.1228
11,618283.0,4194917.205,37.894090369004736,-1.6547353240048808,660.98535
12,618283.0,4194931.86,37.89422241893696,-1.6547329205245658,661.6733
13,618283.0,4194946.515,37.89435446886612,-1.6547305170285262,661.6733
14,618283.0,4194961.17,37.89448651879215,-1.6547281135168128,662.8089
15,618283.0,4194975.825,37.89461856871509,-1.6547257099893748,662.8089
16,618283.0,4194990.48,37.894750618634944,-1.6547233064462377,663.79254
17,618283.0,4195005.135,37.89488266855168,-1.6547209028874013,663.79254
18,618283.0,4195019.79,37.89501471846531,-1.6547184993128656,664.078
19,618283.0,4195034.445,37.89514676837586,-1.6547160957226308,663.7791
20,618283.0,4195049.1,37.89527881828331,-1.6547136921166712,663.7791
21,618283.0,4195063.755,37.89541086818764,-1.6547112884950124,663.5485
22,618283.0,4195078.41,37.89554291808888,-1.6547088848576543,663.5485
23,618283.0,4195093.065,37.895674967987034,-1.6547064812045973,663.3366
24,618283.0,4195107.72,37.89580701788207,-1.6547040775358153,663.3366
25,618283.0,4195122.375,37.89593906777402,-1.6547016738513343,663.1835
26,618283.0,4195137.03,37.89607111766285,-1.654699270151154,663.19354
27,618283.0,4195151.685,37.89620316754859,-1.6546968664352746,663.19354
28,618283.0,4195166.34,37.896335217431236,-1.6546944627036957,664.07117
29,618283.0,4195180.995,37.89646726731078,-1.6546920589563923,664.07117
