x,y,z,t
619466.1659762977,4195597.291478536,550.0,4241081.815180108
619467.6729614293,4195594.697596417,548.5120300510246,4241079.469232264
619469.1795590558,4195592.1043812875,547.0482404081968,4241077.123888479
619470.685381672,4195589.512500137,545.6088113776643,4241074.779751988
619472.1900417728,4195586.922619952,544.1939232655748,4241072.437426023
619473.6931518533,4195584.335407725,542.8037563780758,4241070.097513819
619475.194324408,4195581.751530442,541.4384910213149,4241067.760618606
619476.6931719319,4195579.171655094,540.0983075014399,4241065.427343614
619478.1893069202,4195576.596448669,538.7833861245986,4241063.098292076
619479.6823418671,4195574.026578158,537.4939071969382,4241060.774067218
619481.171889268,4195571.462710547,536.2300510246064,4241058.455272271
619482.6575616174,4195568.905512829,534.9919979137511,4241056.142510463
619484.1389714105,4195566.35565199,533.7799281705198,4241053.836385016
619485.6157311423,4195563.813795019,532.5940221010601,4241051.5374991605
619487.0874533072,4195561.280608906,531.4344600115198,4241049.246456121
619488.5537504005,4195558.756760641,530.3014222080465,4241046.963859119
619490.0142349168,4195556.242917212,529.1950889967877,4241044.6903113825
619491.468519351,4195553.739745608,528.115640683891,4241042.42641613
619492.9162161982,4195551.247912818,527.0632575755044,4241040.172776585
619494.3569379529,4195548.768085831,526.0381199777751,4241037.92999597
619495.7902971103,4195546.300931637,525.040408196851,4241035.698677504
619497.2159061651,4195543.847117225,524.0703025388796,4241033.479424407
619498.6333776122,4195541.407309583,523.1279833100086,4241031.272839899
619500.0423239465,4195538.982175701,522.2136308163856,4241029.079527196
619501.4423576628,4195536.572382567,521.3274253641584,4241026.900089516
619502.8330912561,4195534.178597173,520.4695472594746,4241024.735130078
619504.2141372211,4195531.801486504,519.6401768084816,4241022.585252096
619505.5851080529,4195529.441717551,518.8394943173271,4241020.4510587845
619506.9456162462,4195527.099957304,518.067680092159,4241018.333153361
619508.2952742958,4195524.776872751,517.3249144391248,4241016.232139039
619509.6336946969,4195522.473130881,516.611377664372,4241014.148619031
619510.9604899441,4195520.189398684,515.9272500740483,4241012.08319655
619512.2752725324,4195517.926343147,515.2727119743014,4241010.036474808
619513.5776549566,4195515.684631261,514.6479436712789,4241008.009057017
619514.8672497115,4195513.464930015,514.0531254711286,4241006.0015463885
619516.1436692921,4195511.267906397,513.488437679998,4241004.014546133
619517.4065261933,4195509.094227397,512.9540606040347,4241002.04865946
619518.6554329097,4195506.9445600035,512.4501745493864,4241000.104489578
619519.8900019366,4195504.819571206,511.9769598222007,4240998.182639699
619521.1098457684,4195502.719927994,511.5345967286252,4240996.283713029
619522.3145769006,4195500.646297354,511.1232655748076,4240994.408312776
619523.5038078274,4195498.599346279,510.7431466668954,4240992.557042151
619524.677151044,4195496.5797417555,510.39442031103675,4240990.730504356
619525.8342190452,4195494.588150774,510.07726681337857,4240988.929302603
619526.974624326,4195492.625240321,509.79186648006896,4240987.1540400935
619528.0979793811,4195490.69167739,509.53839961725544,4240985.405320038
619529.2038967055,4195488.7881289655,509.31704653108557,4240983.68374564
619530.291988794,4195486.915262039,509.127987527707,4240981.989920105
619531.3618681413,4195485.0737435995,508.9714029132676,4240980.32444664
619532.4131472427,4195483.264240635,508.8474729939147,4240978.6879284475
619533.4454385928,4195481.487420136,508.7563780757961,4240977.080968735
619534.4583546865,4195479.74394909,508.6982984650594,4240975.504170704
619535.4515080187,4195478.034494488,508.67341446785224,4240973.958137562
619536.4245110843,4195476.3597233165,508.6819063903223,4240972.443472509
619537.376976378,4195474.720302568,508.72395453861725,4240970.960778755
619538.3085163949,4195473.116899229,508.7997392188846,4240969.510659501
619539.2187436298,4195471.550180288,508.909440737272,4240968.093717949
619540.1072705775,4195470.020812737,509.05323939992724,4240966.710557307
619540.9737097328,4195468.529463562,509.23131551299787,4240965.361780776
619541.8176735907,4195467.076799754,509.44384938263136,4240964.047991561
619542.6387746462,4195465.663488301,509.6910213149756,4240962.769792867
619543.436625394,4195464.290196193,509.97301161617816,4240961.527787897
619544.2108383289,4195462.95759042,510.2900005923866,4240960.322579857
619544.961025946,4195461.666337969,510.6421685497487,4240959.154771949
619545.6868007401,4195460.417105828,511.02969579441185,4240958.024967379
619546.387775206,4195459.21056099,511.452762632524,4240956.933769353
619547.0635618384,4195458.047370442,511.9115493702325,4240955.881781075
619547.7137731325,4195456.9282011725,512.4062363136852,4240954.869605751
619548.3380215832,4195455.853720171,512.9370037690296,4240953.897846587
619548.9359196848,4195454.824594427,513.5040320424137,4240952.9671067875
619549.507079933,4195453.841490929,514.1075014399844,4240952.0779895615
619550.051114822,4195452.905076667,514.74759226789,4240951.231098115
619550.567636847,4195452.016018628,515.4244848322779,4240950.427035656
619551.0562585028,4195451.174983804,516.1383594392958,4240949.666405393
619551.5165922843,4195450.382639182,516.8893963950911,4240948.949810533
619551.9482506864,4195449.639651752,517.6777760058117,4240948.277854286
619552.3508462039,4195448.946688503,518.5036785776053,4240947.651139864
619552.7239913314,4195448.304416423,519.3672844166193,4240947.070270474
619553.0672985644,4195447.713502502,520.2687738290015,4240946.53584933
619553.3803803974,4195447.17461373,521.2083271208994,4240946.048479645
619553.6628493251,4195446.688417094,522.1861245984608,4240945.608764627
619553.9143178427,4195446.255579584,523.2023465678332,4240945.217307495
619554.134398445,4195445.87676819,524.2571733351642,4240944.874711462
619554.3227036267,4195445.5526499,525.3507852066017,4240944.581579743
619554.4788458829,4195445.283891704,526.4833624882931,4240944.338515555
619554.6024377083,4195445.071160589,527.655085486386,4240944.146122115
619554.693091598,4195444.915123547,528.8661345070284,4240944.005002643
619554.7504200465,4195444.816447565,530.1166898563677,4240943.915760357
619554.7740355489,4195444.775799633,531.4069318405511,4240943.87899848
619554.7635506003,4195444.793846739,532.7370407657271,4240943.895320233
619554.7185776951,4195444.871255874,534.1071969380428,4240943.96532884
619554.6387293283,4195445.008694026,535.5175806636457,4240944.089627526
619554.5236179951,4195445.206828183,536.968372248684,4240944.268819515
619554.3728561902,4195445.466325335,538.4597519993049,4240944.503508038
619554.1860564081,4195445.787852472,539.991900221656,4240944.794296321
619553.9628311443,4195446.172076581,541.5649972218854,4240945.141787595
619553.7027928932,4195446.619664653,543.1792233061401,4240945.546585095
619553.4055541498,4195447.131283676,544.8347587805683,4240946.009292051
619553.0707274091,4195447.70760064,546.5317839513172,4240946.530511701
619552.6979251658,4195448.349282535,548.2704791245349,4240947.11084728
